Salon ID;Salon Name;Street;Postal Code;City;Phone;Specialization;Source/Marker;Notes
GL-0019;Hamburg Premium Coiffeur #8;Hohe Bleichen 10;20355;Hamburg;+49 736 187622;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0020;Hamburg Exclusiv Friseur #9;Neuer Wall 97;20356;Hamburg;+49 915 160123;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0021;Hamburg Premium Coiffeur #10;Jungfernstieg 72;20357;Hamburg;+49 736 425131;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0022;Hamburg Hair Couture #11;Gänsemarkt 127;20358;Hamburg;+49 833 911169;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0023;Hamburg Hair Couture #12;Colonnaden 120;20359;Hamburg;+49 252 581246;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0024;Hamburg Exclusiv Friseur #13;Alsterarkaden 26;20354;Hamburg;+49 457 975806;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0025;München The Art of Hair #1;Theatinerstraße 26;80333;München;+49 520 248949;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0026;München Premium Coiffeur #2;Kaufingerstraße 112;80334;München;+49 371 574384;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0027;München Hair Couture #3;Residenzstraße 138;80335;München;+49 714 414841;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0028;München Exclusiv Friseur #4;Brienner Straße 136;80336;München;+49 985 421341;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0029;München Hair Couture #5;Theatinerstraße 116;80337;München;+49 343 998592;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0030;München Top Hair Studio #6;Maximilianstraße 126;80338;München;+49 998 730913;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0031;München Couture Extensions #7;Dienerstraße 58;80333;München;+49 234 690244;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0032;München Hair Couture #8;Hackenstraße 126;80334;München;+49 599 534622;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0033;München Couture Extensions #9;Theatinerstraße 116;80335;München;+49 966 742937;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0034;München Couture Extensions #10;Kaufingerstraße 35;80336;München;+49 251 928214;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0035;München The Art of Hair #11;Residenzstraße 56;80337;München;+49 488 471151;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0036;Köln Couture Extensions #1;Hohe Straße 3;50667;Köln;+49 961 938551;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0037;Köln Hair Couture #2;Schildergasse 127;50668;Köln;+49 955 467732;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0038;Köln Top Hair Studio #3;Mittelstraße 72;50669;Köln;+49 609 696728;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0039;Köln Couture Extensions #4;Apostelnstraße 28;50670;Köln;+49 622 142744;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0040;Köln Premium Coiffeur #5;Ehrenstraße 97;50671;Köln;+49 472 517977;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0041;Köln Haarverlängerung Meister #6;Glockengasse 83;50672;Köln;+49 250 809168;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0042;Köln Hair Couture #7;Cäcilienstraße 63;50667;Köln;+49 988 865378;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0043;Köln Premium Coiffeur #8;Antonsgasse 142;50668;Köln;+49 500 634836;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0044;Köln Couture Extensions #9;Hohe Straße 102;50669;Köln;+49 373 918908;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0045;Köln Couture Extensions #10;Schildergasse 148;50670;Köln;+49 428 895441;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0046;Köln Top Hair Studio #11;Mittelstraße 28;50671;Köln;+49 390 436254;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0047;Köln Premium Coiffeur #12;Apostelnstraße 1;50672;Köln;+49 836 879870;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0048;Köln Haarverlängerung Meister #13;Ehrenstraße 56;50667;Köln;+49 482 591542;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0049;Frankfurt am Main Top Hair Studio #1;Goethestraße 87;60313;Frankfurt am Main;+49 614 239530;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0050;Frankfurt am Main Premium Coiffeur #2;Zeil 15;60314;Frankfurt am Main;+49 890 891835;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0051;Frankfurt am Main Haarverlängerung Meister #3;Schillerstraße 110;60315;Frankfurt am Main;+49 251 515109;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0052;Frankfurt am Main Top Hair Studio #4;Börsenstraße 150;60316;Frankfurt am Main;+49 643 940473;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0053;Frankfurt am Main Exclusiv Friseur #5;Roßmarkt 31;60317;Frankfurt am Main;+49 914 254230;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0054;Frankfurt am Main Top Hair Studio #6;Steinweg 99;60318;Frankfurt am Main;+49 257 317350;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0055;Frankfurt am Main Hair Couture #7;Kaiserhofstraße 32;60313;Frankfurt am Main;+49 568 565083;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0056;Frankfurt am Main Premium Coiffeur #8;Fressgasse 35;60314;Frankfurt am Main;+49 367 228247;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0057;Frankfurt am Main Luxury Hair Lounge #9;Goethestraße 39;60315;Frankfurt am Main;+49 725 126329;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0058;Frankfurt am Main Hair Couture #10;Zeil 31;60316;Frankfurt am Main;+49 944 661020;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0059;Frankfurt am Main Top Hair Studio #11;Schillerstraße 110;60317;Frankfurt am Main;+49 731 478858;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0060;Frankfurt am Main The Art of Hair #12;Börsenstraße 108;60318;Frankfurt am Main;+49 284 347074;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0061;Stuttgart Premium Coiffeur #1;Königstraße 66;70173;Stuttgart;+49 718 409668;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0062;Stuttgart The Art of Hair #2;Calwer Straße 119;70174;Stuttgart;+49 340 794909;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0063;Stuttgart Haarverlängerung Meister #3;Kronprinzstraße 113;70175;Stuttgart;+49 989 107175;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0064;Stuttgart Top Hair Studio #4;Stiftstraße 28;70176;Stuttgart;+49 632 812824;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0065;Stuttgart Hair Couture #5;Marstallstraße 134;70177;Stuttgart;+49 732 686482;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0066;Stuttgart The Art of Hair #6;Schillerplatz 43;70178;Stuttgart;+49 274 425363;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0067;Stuttgart Exclusiv Friseur #7;Planiedurchgang 133;70173;Stuttgart;+49 512 681500;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0068;Stuttgart Hair Couture #8;Königstraße 105;70174;Stuttgart;+49 856 750041;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0069;Stuttgart Couture Extensions #9;Calwer Straße 77;70175;Stuttgart;+49 308 745423;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0070;Stuttgart Couture Extensions #10;Kronprinzstraße 73;70176;Stuttgart;+49 498 597761;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0071;Stuttgart The Art of Hair #11;Stiftstraße 52;70177;Stuttgart;+49 464 175996;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0072;Stuttgart Luxury Hair Lounge #12;Marstallstraße 33;70178;Stuttgart;+49 501 279174;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0073;Stuttgart Haarverlängerung Meister #13;Schillerplatz 148;70173;Stuttgart;+49 521 750016;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0074;Düsseldorf Hair Couture #1;Königsallee 126;40212;Düsseldorf;+49 655 328269;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0075;Düsseldorf Premium Coiffeur #2;Schadowstraße 20;40213;Düsseldorf;+49 453 193451;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0076;Düsseldorf Luxury Hair Lounge #3;Graf-Adolf-Straße 13;40214;Düsseldorf;+49 911 110485;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0077;Düsseldorf Top Hair Studio #4;Benrather Straße 52;40215;Düsseldorf;+49 499 332805;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0078;Düsseldorf Top Hair Studio #5;Trinkausstraße 25;40216;Düsseldorf;+49 644 560000;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0079;Düsseldorf Couture Extensions #6;Kasernenstraße 132;40217;Düsseldorf;+49 816 920683;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0080;Düsseldorf Hair Couture #7;Berger Straße 132;40212;Düsseldorf;+49 804 383457;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0081;Düsseldorf The Art of Hair #8;Königsallee 72;40213;Düsseldorf;+49 564 426082;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0082;Düsseldorf Exclusiv Friseur #9;Schadowstraße 88;40214;Düsseldorf;+49 706 261516;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0083;Düsseldorf Premium Coiffeur #10;Graf-Adolf-Straße 86;40215;Düsseldorf;+49 770 180027;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0084;Düsseldorf Premium Coiffeur #11;Benrather Straße 95;40216;Düsseldorf;+49 741 235490;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0085;Düsseldorf Top Hair Studio #12;Trinkausstraße 62;40217;Düsseldorf;+49 312 566240;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0086;Düsseldorf Luxury Hair Lounge #13;Kasernenstraße 132;40212;Düsseldorf;+49 926 172546;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0087;Dortmund Top Hair Studio #1;Ostenhellweg 29;44135;Dortmund;+49 807 622467;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0088;Dortmund Luxury Hair Lounge #2;Westenhellweg 122;44136;Dortmund;+49 724 209420;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0089;Dortmund Top Hair Studio #3;Hansastraße 83;44137;Dortmund;+49 843 725341;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0090;Dortmund Luxury Hair Lounge #4;Huckarder Straße 120;44138;Dortmund;+49 517 428128;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0091;Dortmund Exclusiv Friseur #5;Kaiserstraße 55;44139;Dortmund;+49 432 682578;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0092;Dortmund Couture Extensions #6;Kleppingstraße 76;44140;Dortmund;+49 290 392464;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0093;Dortmund Haarverlängerung Meister #7;Ostenhellweg 138;44135;Dortmund;+49 783 867127;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0094;Dortmund Hair Couture #8;Westenhellweg 8;44136;Dortmund;+49 924 668303;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0095;Dortmund Luxury Hair Lounge #9;Hansastraße 19;44137;Dortmund;+49 884 311325;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0096;Dortmund Haarverlängerung Meister #10;Huckarder Straße 130;44138;Dortmund;+49 372 950125;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0097;Dortmund The Art of Hair #11;Kaiserstraße 42;44139;Dortmund;+49 997 944900;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0098;Dortmund Haarverlängerung Meister #12;Kleppingstraße 113;44140;Dortmund;+49 445 369044;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0099;Dortmund Hair Couture #13;Ostenhellweg 95;44135;Dortmund;+49 556 650401;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0100;Dortmund The Art of Hair #14;Westenhellweg 27;44136;Dortmund;+49 620 490889;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0101;Dortmund Hair Couture #15;Hansastraße 122;44137;Dortmund;+49 388 286836;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0102;Dortmund The Art of Hair #16;Huckarder Straße 124;44138;Dortmund;+49 347 517097;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0103;Dortmund Exclusiv Friseur #17;Kaiserstraße 14;44139;Dortmund;+49 892 644580;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0104;Dortmund Premium Coiffeur #18;Kleppingstraße 148;44140;Dortmund;+49 597 218438;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0105;Essen Couture Extensions #1;Kettwiger Straße 2;45127;Essen;+49 927 426323;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0106;Essen Hair Couture #2;Limbecker Straße 42;45128;Essen;+49 622 653733;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0107;Essen Premium Coiffeur #3;Rüttenscheider Straße 88;45129;Essen;+49 437 291211;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0108;Essen Exclusiv Friseur #4;Bismarckstraße 130;45130;Essen;+49 329 137689;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0109;Essen Top Hair Studio #5;Girardetstraße 9;45131;Essen;+49 773 466095;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0110;Essen Exclusiv Friseur #6;Kettwiger Straße 18;45132;Essen;+49 657 604847;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0111;Essen Haarverlängerung Meister #7;Limbecker Straße 66;45127;Essen;+49 781 596086;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0112;Essen Couture Extensions #8;Rüttenscheider Straße 78;45128;Essen;+49 987 812296;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0113;Essen Hair Couture #9;Bismarckstraße 61;45129;Essen;+49 964 867372;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0114;Essen Couture Extensions #10;Girardetstraße 45;45130;Essen;+49 213 905406;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0115;Essen The Art of Hair #11;Kettwiger Straße 41;45131;Essen;+49 443 797710;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0116;Essen The Art of Hair #12;Limbecker Straße 94;45132;Essen;+49 731 969948;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0117;Essen Top Hair Studio #13;Rüttenscheider Straße 6;45127;Essen;+49 825 516724;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0118;Essen Exclusiv Friseur #14;Bismarckstraße 98;45128;Essen;+49 886 549012;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0119;Essen Luxury Hair Lounge #15;Girardetstraße 2;45129;Essen;+49 416 962210;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0120;Essen Haarverlängerung Meister #16;Kettwiger Straße 4;45130;Essen;+49 257 721723;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0121;Leipzig Exclusiv Friseur #1;Grimmaische Straße 15;4109;Leipzig;+49 410 294417;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0122;Leipzig Hair Couture #2;Petersstraße 28;4110;Leipzig;+49 780 757588;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0123;Leipzig Hair Couture #3;Neumarkt 58;4111;Leipzig;+49 336 324355;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0124;Leipzig Top Hair Studio #4;Katharinenstraße 80;4112;Leipzig;+49 895 881368;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0125;Leipzig Exclusiv Friseur #5;Klostergasse 2;4113;Leipzig;+49 901 695733;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
GL-0126;Leipzig Top Hair Studio #6;Brühl 104;4114;Leipzig;+49 768 292180;Keratin Bonds, Luxury Hair Extensions & Premium Care;GL - Great Lengths Partner;GL Premium Partner / High-End Ext. & Care
